,maximum,minimum
ACSPHACP50_REV_G1G01-4858-MONOMER,0.0,0.0
ACSPHACP50_FWD_G1G01-4858-MONOMER,0.00012409798910408953,0.0
ACSPHACP60_REV_G1G01-4857-MONOMER_mod_mg2(1),0.0,0.0
ACSPHACP60_FWD_G1G01-4857-MONOMER_mod_mg2(1),0.0001234037230788007,0.0
ACSPHACP60_REV_G1G01-4858-MONOMER,0.0,0.0
ACSPHACP60_FWD_G1G01-4858-MONOMER,0.00012409798910408953,0.0
ACSPHACP70_REV_G1G01-4857-MONOMER_mod_mg2(1),0.0,0.0
ACSPHACP70_FWD_G1G01-4857-MONOMER_mod_mg2(1),0.0001234037230788007,0.0
ACSPHACP70_REV_G1G01-4858-MONOMER,0.0,0.0
ACSPHACP70_FWD_G1G01-4858-MONOMER,0.00012409798910408953,0.0
ACSPHACP80_REV_G1G01-4857-MONOMER_mod_mg2(1),0.0,0.0
ACSPHACP80_FWD_G1G01-4857-MONOMER_mod_mg2(1),0.0001234037230788007,0.0
ACSPHACP80_REV_G1G01-4858-MONOMER,0.0,0.0
ACSPHACP80_FWD_G1G01-4858-MONOMER,0.00012409798910408953,0.0
ACSPHACP90_REV_G1G01-4857-MONOMER_mod_mg2(1),0.0,0.0
ACSPHACP90_FWD_G1G01-4857-MONOMER_mod_mg2(1),0.0001234037230788007,0.0
ACSPHACP90_REV_G1G01-4858-MONOMER,0.0,0.0
ACSPHACP90_FWD_G1G01-4858-MONOMER,0.00012409798910408953,0.0
ACSPHACT40_REV_G1G01-4857-MONOMER_mod_mg2(1),0.0,0.0
ACSPHACT40_FWD_G1G01-4857-MONOMER_mod_mg2(1),0.0001234037230788007,0.0
ACSPHACT40_REV_G1G01-4858-MONOMER,0.0,0.0
ACSPHACT40_FWD_G1G01-4858-MONOMER,0.00012409798910408953,0.0
ACSPHACT60_REV_G1G01-4857-MONOMER_mod_mg2(1),0.0,0.0
ACSPHACT60_FWD_G1G01-4857-MONOMER_mod_mg2(1),0.0001234037230788007,0.0
ACSPHACT60_REV_G1G01-4858-MONOMER,0.0,0.0
ACSPHACT60_FWD_G1G01-4858-MONOMER,0.00012409798910408953,0.0
DGUDBUTNabcpp_REV_CPLX_dummy,0.0,0.0
DGUDBUTNabcpp_FWD_CPLX_dummy,0.0,0.0
