,Gene Name,Model,Experiment,ME
PP_3722,,,,1
PP_3723,,,,1
PP_3727,,,,1
PP_3736,,,,1
PP_3737,,,,1
PP_3739,,,,1
PP_3745,,,,1
PP_3741,,,,1
PP_3740,,,,1
PP_3746,,,,1
PP_3747,,,,1
PP_3751,,,,1
PP_3763,,,,0
PP_3755,,,,1
PP_3754,,,,1
PP_3766,,,,1
PP_3768,,,,1
PP_3778,,,,1
PP_3790,,,,1
PP_3796,,,,0
PP_3794,,,,1
PP_3801,,,,0
PP_3813,,,,1
PP_3814,,,,1
PP_3802,,,,0
PP_3803,,,,0
PP_3815,,,,1
PP_3816,,,,1
PP_3821,,,,0
PP_3817,,,,1
PP_3819,,,,1
PP_3830,,,,0
PP_3839,,,,1
PP_3828,,,,1
PP_3829,,,,1
PP_3844,,,,1
PP_3846,,,,1
PP_3939,,,,1
PP_3931,,,,1
PP_3940,,,,1
PP_3941,,,,1
PP_3942,,,,1
PP_3944,,,,1
PP_3947,,,,1
PP_3943,,,,1
PP_3945,,,,1
PP_3948,,,,1
PP_3951,,,,1
PP_3952,,,,1
PP_3957,,,,1
PP_3953,,,,1
PP_3958,,,,1
PP_3989,,,,1
PP_3970,,,,1
PP_3959,,,,1
PP_3992,,,,1
PP_4000,,,,0
PP_4007,,,,0
PP_4012,,,,1
PP_4011,,,,1
PP_4020,,,,1
PP_4029,,,,1
PP_4016,,,,0
PP_4034,,,,1
PP_4031,,,,1
PP_4035,,,,1
PP_4036,,,,1
PP_4037,,,,1
PP_4050,,,,1
PP_4042,,,,1
PP_4043,,,,1
PP_4051,,,,1
PP_4053,,,,1
PP_4052,,,,1
PP_4058,,,,1
PP_4055,,,,1
PP_4060,,,,1
PP_4059,,,,1
PP_4064,,,,1
PP_4063,,,,1
PP_4065,,,,1
PP_4097,,,,0
PP_4067,,,,1
PP_4066,,,,1
PP_4103,,,,1
PP_4106,,,,1
PP_4108,,,,1
PP_4116,,,,1
PP_4120,,,,1
PP_4119,,,,1
PP_4121,,,,1
PP_4124,,,,1
PP_4122,,,,1
PP_4123,,,,1
PP_4125,,,,1
PP_4126,,,,1
PP_4127,,,,1
PP_4128,,,,1
PP_4129,,,,1
PP_4130,,,,1
PP_4131,,,,1
PP_4138,,,,1
PP_4144,,,,1
PP_4140,,,,1
PP_4147,,,,1
PP_4148,,,,1
PP_4149,,,,1
PP_4150,,,,1
PP_4160,,,,1
PP_4159,,,,1
PP_4169,,,,1
PP_4175,,,,0
PP_4161,,,,1
PP_4174,,,,1
PP_4185,,,,1
PP_4186,,,,1
PP_4184,,,,1
PP_4187,,,,1
PP_4188,,,,1
PP_4189,,,,1
PP_4191,,,,1
PP_4193,,,,1
PP_4192,,,,1
PP_4190,,,,1
PP_4194,,,,1
PP_4201,,,,1
PP_4202,,,,1
PP_4209,,,,0
PP_4211,,,,0
PP_4210,,,,0
PP_4203,,,,1
PP_4214,,,,0
PP_4212,,,,0
PP_4213,,,,0
PP_4215,,,,0
PP_4216,,,,0
PP_4222,,,,0
PP_4219,,,,0
PP_4221,,,,0
PP_4220,,,,0
PP_4217,,,,1
PP_4223,,,,1
PP_4243,,,,0
PP_4237,,,,1
PP_4235,,,,1
PP_4250,,,,1
PP_4251,,,,1
PP_4252,,,,1
PP_4253,,,,1
PP_4255,,,,1
PP_4256,,,,1
PP_4257,,,,1
PP_4278,,,,1
PP_4258,,,,1
PP_4266,,,,1
PP_4264,,,,1
PP_4279,,,,1
PP_4281,,,,1
PP_4285,,,,1
PP_4284,,,,1
PP_4282,,,,1
PP_4286,,,,1
